region_id,region_name,region_area,region_proportion
1,DG,282644.48262186005,0.0710556175256979
2,CA1,405991.8810207,0.1020646274384921
3,CA3,611545.6273594745,0.1537399626346254
4,DG-CA1,1420215.283691172,0.3570360654699921
5,SLM,1164426.45073992,0.292731843739102
6,Hilus,92968.49514168,0.0233718831920903
