region_id,region_name,region_area,region_proportion
1,DG,486973.43365040806,0.1553160235017913
2,CA1,323402.8432702039,0.1031465787145184
3,upper_CA1,861188.3464933465,0.2746686784549553
4,SM,1463806.8770339098,0.4668687193287347
