point_id,cell_id,cell_type
1,1,unassigned
2,2,unassigned
3,3,unassigned
4,4,unassigned
5,1,unassigned
6,5,unassigned
7,6,unassigned
8,7,unassigned
9,8,unassigned
10,9,unassigned
11,10,unassigned
12,9,unassigned
13,11,unassigned
14,11,unassigned
15,12,Excitatory_Neuron
16,12,Excitatory_Neuron
17,12,Excitatory_Neuron
18,13,unassigned
19,12,Excitatory_Neuron
20,14,GABA_Neuron
21,15,Excitatory_Neuron
22,16,Excitatory_Neuron
23,17,Astro-Epen
24,18,GABA_Neuron
25,19,unassigned
26,20,Astro-Epen
27,21,Astro-Epen
28,22,unassigned
29,23,unassigned
30,23,unassigned
31,24,unassigned
32,25,unassigned
33,26,Excitatory_Neuron
34,27,unassigned
35,28,unassigned
36,27,unassigned
37,12,Excitatory_Neuron
38,15,Excitatory_Neuron
39,15,Excitatory_Neuron
40,17,Astro-Epen
41,21,Astro-Epen
42,19,unassigned
43,21,Astro-Epen
44,17,Astro-Epen
45,20,Astro-Epen
46,23,unassigned
47,29,Astro-Epen
48,25,unassigned
49,30,unassigned
50,31,Astro-Epen
51,32,Astro-Epen
52,33,unassigned
53,26,Excitatory_Neuron
54,34,unassigned
55,16,Excitatory_Neuron
56,14,GABA_Neuron
57,14,GABA_Neuron
58,35,unassigned
59,36,GABA_Neuron
60,37,OPC-Oligo
61,17,Astro-Epen
62,36,GABA_Neuron
63,23,unassigned
64,18,GABA_Neuron
65,38,Immune
66,39,unassigned
67,40,Vascular
68,22,unassigned
69,37,OPC-Oligo
70,29,Astro-Epen
71,40,Vascular
72,23,unassigned
73,22,unassigned
74,37,OPC-Oligo
75,37,OPC-Oligo
76,40,Vascular
77,40,Vascular
78,37,OPC-Oligo
79,37,OPC-Oligo
80,37,OPC-Oligo
81,41,unassigned
82,42,Astro-Epen
83,41,unassigned
84,43,unassigned
85,44,Excitatory_Neuron
86,37,OPC-Oligo
87,45,unassigned
88,37,OPC-Oligo
89,40,Vascular
90,37,OPC-Oligo
91,41,unassigned
92,41,unassigned
93,37,OPC-Oligo
94,46,unassigned
95,41,unassigned
96,44,Excitatory_Neuron
97,47,GABA_Neuron
98,48,unassigned
99,48,unassigned
100,48,unassigned
101,49,Excitatory_Neuron
102,44,Excitatory_Neuron
103,50,Astro-Epen
104,44,Excitatory_Neuron
105,49,Excitatory_Neuron
106,50,Astro-Epen
107,51,Excitatory_Neuron
108,52,unassigned
109,52,unassigned
110,53,Astro-Epen
111,51,Excitatory_Neuron
112,51,Excitatory_Neuron
113,54,Excitatory_Neuron
114,50,Astro-Epen
115,55,unassigned
116,44,Excitatory_Neuron
117,56,Excitatory_Neuron
118,23,unassigned
119,23,unassigned
