region_id,region_name,region_area,region_proportion
1,SO,391002.0661157024,0.1320230293214102
2,CA1,275346.0743801653,0.0929714341731144
3,unassigned,,
4,DG-CA1,1534166.3223140498,0.5180158953299551
5,DG,645504.6487603306,0.2179565955162334
6,Hilus,115601.05519480526,0.0390330456592869
