region_id,region_name,region_area,region_proportion
1,DG-CA1,709810.0,0.3939402940027219
2,unassigned,,
3,DG,330686.125,0.1835288165919342
4,SLM,322368.0,0.1789123070921365
5,Hilus,77582.0,0.0430575448208945
6,CA3,298784.0,0.1658233285010203
7,CA1,62591.142857142855,0.0347377089912923
