point_id,gene,Z,X,Y,fov
1,DLG4,0.2564553320015543,148.7008852414371,190.82435209850357,WTE1_B_L_UPDATED_FOV_3D05
2,RAB27A,0.2591035107491794,153.51401620753174,187.88602680426536,WTE1_B_L_UPDATED_FOV_3D05
3,DLG4,0.14872001821154401,157.77311939533948,176.10951396433853,WTE1_B_L_UPDATED_FOV_3D05
4,Laptm5,0.19881386105134743,164.6197215693796,149.5151175983619,WTE1_B_L_UPDATED_FOV_3D05
5,Laptm5,0.20503119086223545,167.8718904121528,163.46905887080123,WTE1_B_L_UPDATED_FOV_3D05
6,Laptm5,0.18205408725360342,156.95118967251773,149.73370693092218,WTE1_B_L_UPDATED_FOV_3D05
7,Fcer1g,0.3159714569423486,148.95408073523103,190.6088664877337,WTE1_B_L_UPDATED_FOV_3D05
8,Grin3a,0.3750637322495623,167.97116552838813,190.41145137232994,WTE1_B_L_UPDATED_FOV_3D05
9,Baiap2l1,0.2891306011198412,170.59313123933046,191.5424115372384,WTE1_B_L_UPDATED_FOV_3D05
10,DLG4,0.22812161803442743,182.29709968617496,175.09440250069272,WTE1_B_L_UPDATED_FOV_3D05
11,Laptm5,0.34218153202433715,163.52000382468054,175.5564919368248,WTE1_B_L_UPDATED_FOV_3D05
12,Baiap2l1,0.2305718752187406,176.9033814081872,208.29767924511148,WTE1_B_L_UPDATED_FOV_3D05
13,STXBP5,0.3620766067052446,193.5641382652333,149.06473706522257,WTE1_B_L_UPDATED_FOV_3D05
14,Grin3a,0.38889063379356115,159.64265487181055,174.3079539977861,WTE1_B_L_UPDATED_FOV_3D05
15,Fcer1g,0.39833761889931546,152.87430970998375,160.21536542022486,WTE1_B_L_UPDATED_FOV_3D05
16,Cd9,0.4571428571428572,206.14260067045504,151.0521692941411,WTE1_B_L_UPDATED_FOV_3D05
17,Baiap2l1,0.6725617494769373,176.89721890515574,208.28538331746003,WTE1_B_L_UPDATED_FOV_3D05
18,Fcer1g,0.41027309937596457,179.7435196406827,176.55474551166063,WTE1_B_L_UPDATED_FOV_3D05
19,DLG4,0.6526015680684251,181.31964531188524,188.0373706438647,WTE1_B_L_UPDATED_FOV_3D05
20,STXBP5,0.3959259318947314,153.13047421966897,206.92832677991387,WTE1_B_L_UPDATED_FOV_3D05
21,DLG4,0.44789108095021035,161.6997970450938,183.97518213516443,WTE1_B_L_UPDATED_FOV_3D05
22,Laptm5,0.4603088072253314,163.8883911161413,175.47356988135144,WTE1_B_L_UPDATED_FOV_3D05
23,Grin3a,0.440360984496888,164.55803885516326,176.93053900457227,WTE1_B_L_UPDATED_FOV_3D05
24,Rerg,0.6128091907552354,174.11098810831413,195.13557917792247,WTE1_B_L_UPDATED_FOV_3D05
25,Syp,0.5479167704094035,175.6298705325149,207.06072126115106,WTE1_B_L_UPDATED_FOV_3D05
26,Itgam,0.6873495513687544,157.714834596399,208.85349534583779,WTE1_B_L_UPDATED_FOV_3D05
27,Neg2,0.7684710636841098,173.51616354564953,182.45625738785938,WTE1_B_L_UPDATED_FOV_3D05
28,BSN,0.5493475330044583,189.81120262575604,162.84982094629942,WTE1_B_L_UPDATED_FOV_3D05
29,Cd9,0.6440904515099658,207.24730770794827,202.84663856771073,WTE1_B_L_UPDATED_FOV_3D05
30,DLG4,0.6199893583948308,148.46310740792066,176.717365829081,WTE1_B_L_UPDATED_FOV_3D05
31,Neg2,0.6357868171105382,171.50830413755847,184.84390744015894,WTE1_B_L_UPDATED_FOV_3D05
32,Neg2,0.6857142857142858,175.6209816261923,207.0931557954356,WTE1_B_L_UPDATED_FOV_3D05
33,Cd9,0.7599833336988228,185.37446838268167,179.64306469347477,WTE1_B_L_UPDATED_FOV_3D05
34,Neurod1,0.7348561082924573,150.2676789556672,146.85937122955102,WTE1_B_L_UPDATED_FOV_3D05
35,Neg2,0.6502029581891783,170.53183674956736,174.88295701209827,WTE1_B_L_UPDATED_FOV_3D05
36,Tmem119,0.904907277621559,152.66225416860706,194.35638412337744,WTE1_B_L_UPDATED_FOV_3D05
37,BSN,0.7961170016974891,155.20496700510424,176.5199723793167,WTE1_B_L_UPDATED_FOV_3D05
38,Itgb5,0.8953323812296926,155.39891271150714,193.143569325423,WTE1_B_L_UPDATED_FOV_3D05
39,PSEN2,0.8678859299657155,156.84163936153004,170.0203959174415,WTE1_B_L_UPDATED_FOV_3D05
40,RAB27A,0.887106332948207,159.62727416917787,174.33101516362726,WTE1_B_L_UPDATED_FOV_3D05
41,DLG4,0.7870953043579257,161.79036214011794,183.96107415376554,WTE1_B_L_UPDATED_FOV_3D05
42,Laptm5,0.8685019967568035,163.88134788878241,175.48282021688365,WTE1_B_L_UPDATED_FOV_3D05
43,Fcer1g,0.7804646255651532,173.78059340856606,191.5446889202422,WTE1_B_L_UPDATED_FOV_3D05
44,Rest,0.7796043956043955,175.94745094737655,179.9398109431393,WTE1_B_L_UPDATED_FOV_3D05
45,Laptm5,0.9566162211187658,156.8205676392773,149.6315124206391,WTE1_B_L_UPDATED_FOV_3D05
46,RIMS1,0.8147751601347154,159.13275580984583,195.89695832021422,WTE1_B_L_UPDATED_FOV_3D05
47,RAB27A,0.8875676367618343,164.55069459861542,176.93205995987404,WTE1_B_L_UPDATED_FOV_3D05
48,Neg2,0.8567283612323189,164.8194777510459,184.01668726654407,WTE1_B_L_UPDATED_FOV_3D05
49,Neg2,0.9748708104754755,170.54367370905132,174.88688965763473,WTE1_B_L_UPDATED_FOV_3D05
50,Neg2,0.9644056487808446,171.50531837608426,184.82734249804886,WTE1_B_L_UPDATED_FOV_3D05
51,Neurod1,0.8704632617913944,180.31585944689832,156.73560497105473,WTE1_B_L_UPDATED_FOV_3D05
52,Trem2,0.8486264079988274,181.7606987070898,178.48286165598253,WTE1_B_L_UPDATED_FOV_3D05
53,BSN,1.029031966487039,150.9221078387005,186.38809548013865,WTE1_B_L_UPDATED_FOV_3D05
54,BSN,0.715840778904152,156.22081052728302,165.2760537129371,WTE1_B_L_UPDATED_FOV_3D05
55,Itgb5,0.9442613394155133,175.18775222060214,196.05566669377453,WTE1_B_L_UPDATED_FOV_3D05
56,Neg2,0.9805372149481063,178.48974790444484,168.04674594123316,WTE1_B_L_UPDATED_FOV_3D05
57,DLG4,0.935699087663265,178.6293664290895,187.86241934382812,WTE1_B_L_UPDATED_FOV_3D05
58,Fcer1g,1.011599241879616,161.63591349257314,163.75101371043073,WTE1_B_L_UPDATED_FOV_3D05
59,PSEN2,0.9743371596897669,166.58517363025075,174.61207022865594,WTE1_B_L_UPDATED_FOV_3D05
60,Pax6,1.0321352496021634,155.50091436251122,179.4686959019144,WTE1_B_L_UPDATED_FOV_3D05
61,PSEN2,1.0876319968527055,156.85066031055803,170.2212373098323,WTE1_B_L_UPDATED_FOV_3D05
62,Baiap2l1,1.0810764249634481,164.16178771504906,180.7600581422726,WTE1_B_L_UPDATED_FOV_3D05
63,DLG4,1.110506966067992,167.72898096112868,196.00007444187054,WTE1_B_L_UPDATED_FOV_3D05
64,Neg2,1.1059667922172332,168.30746933718186,187.06506106227081,WTE1_B_L_UPDATED_FOV_3D05
65,Vsir,1.046971576730903,172.17734712121484,180.30460753355663,WTE1_B_L_UPDATED_FOV_3D05
66,Neurod1,1.1293733250374538,151.7318868782455,177.39268188282884,WTE1_B_L_UPDATED_FOV_3D05
67,Baiap2l1,1.0886262648796012,155.6989358296204,178.1012416371123,WTE1_B_L_UPDATED_FOV_3D05
68,HIF-1?,1.1153999117815074,162.30552580709735,175.1766168767412,WTE1_B_L_UPDATED_FOV_3D05
69,PSEN1,1.1565076769590399,179.65037393005673,149.99150672497785,WTE1_B_L_UPDATED_FOV_3D05
70,Tyrobp,1.0349219791623794,181.6509789820514,178.62870042512333,WTE1_B_L_UPDATED_FOV_3D05
71,Cd9,1.1251931513114057,183.1019014461637,183.32023066190752,WTE1_B_L_UPDATED_FOV_3D05
72,Itgam,1.1260696384943922,189.8428140725302,154.20587984514177,WTE1_B_L_UPDATED_FOV_3D05
73,DLG4,1.1764692413906517,148.41347679207473,176.72185754449876,WTE1_B_L_UPDATED_FOV_3D05
74,PSEN2,1.1522706791269144,148.82895986584387,186.4440052999978,WTE1_B_L_UPDATED_FOV_3D05
75,Pax6,1.1952633586128,156.97476366434736,167.22733884531655,WTE1_B_L_UPDATED_FOV_3D05
76,Rest,1.1384463297746608,164.0895125147469,185.75664120558082,WTE1_B_L_UPDATED_FOV_3D05
77,C1qa,1.196553856408503,166.1092290193291,189.75799310638982,WTE1_B_L_UPDATED_FOV_3D05
78,Irg1,1.2474022615450973,178.49004213071245,150.81267643141828,WTE1_B_L_UPDATED_FOV_3D05
79,Fcer1g,1.039338805360311,188.48534631776593,158.2858342825228,WTE1_B_L_UPDATED_FOV_3D05
80,Pax6,1.13983624084207,206.74153692425315,159.6353474285771,WTE1_B_L_UPDATED_FOV_3D05
81,BSN,1.2560054237471314,155.1488346636399,176.53356956324055,WTE1_B_L_UPDATED_FOV_3D05
82,C4a,1.1349589794914194,158.30546688904272,210.0996026363334,WTE1_B_L_UPDATED_FOV_3D05
83,RIMS1,1.19944788014704,159.12276086785158,195.91923895114437,WTE1_B_L_UPDATED_FOV_3D05
84,Neg2,1.2198052472483085,160.3835966838331,185.5814868226665,WTE1_B_L_UPDATED_FOV_3D05
85,Laptm5,1.3602374040839889,162.3500403641493,177.38662376454505,WTE1_B_L_UPDATED_FOV_3D05
86,DLG4,1.2322934440150173,167.5637514924347,195.99464528153933,WTE1_B_L_UPDATED_FOV_3D05
87,Neg2,1.18261663961432,175.62109377469469,207.11649869711763,WTE1_B_L_UPDATED_FOV_3D05
88,PSEN1,1.1154069831171909,179.79791008921578,149.96489318348858,WTE1_B_L_UPDATED_FOV_3D05
89,Itgam,1.26300054415672,160.41693226086568,164.73368368099713,WTE1_B_L_UPDATED_FOV_3D05
90,Neg2,1.14534676788968,172.4908897819113,191.6930345277317,WTE1_B_L_UPDATED_FOV_3D05
91,Itgb5,1.2233761984048344,151.04970499524478,181.88947542080996,WTE1_B_L_UPDATED_FOV_3D05
92,PSEN2,1.4473774603252345,156.73205984791,170.22681881979125,WTE1_B_L_UPDATED_FOV_3D05
93,Rest,1.3857527713176,155.94155802300602,206.51582549010712,WTE1_B_L_UPDATED_FOV_3D05
94,DLG4,1.3879659759309373,169.57685848462938,168.29770875359353,WTE1_B_L_UPDATED_FOV_3D05
95,PSEN1,1.4235667125262743,170.24120972503107,192.8961369856265,WTE1_B_L_UPDATED_FOV_3D05
96,STXBP5,1.401838085621326,182.35276644907842,159.96700747326832,WTE1_B_L_UPDATED_FOV_3D05
97,TIM50,1.3959215208212004,163.08827175108462,188.36386886876153,WTE1_B_L_UPDATED_FOV_3D05
98,Baiap2l1,1.4075754092917487,165.64097127666156,177.69840803825238,WTE1_B_L_UPDATED_FOV_3D05
99,BSN,1.3688567754577143,169.73431173278314,169.06601540428173,WTE1_B_L_UPDATED_FOV_3D05
100,Itgam,1.4763703958691887,171.38857424216403,158.96556972030538,WTE1_B_L_UPDATED_FOV_3D05
101,Laptm5,1.5063363821432916,182.88408216701018,150.84549149258694,WTE1_B_L_UPDATED_FOV_3D05
102,Fcer1g,1.4595703820932229,188.48331104767902,158.2980289993455,WTE1_B_L_UPDATED_FOV_3D05
103,BSN,1.40163950628328,171.5041657502731,204.65475731585045,WTE1_B_L_UPDATED_FOV_3D05
104,Irg1,1.5827654056950173,155.22007734752987,190.54505803362966,WTE1_B_L_UPDATED_FOV_3D05
105,DLG4,1.44555240800992,159.74119653987435,187.31513873444672,WTE1_B_L_UPDATED_FOV_3D05
106,Lgals3bp,1.4080935037964915,164.04730378471461,168.20516088203993,WTE1_B_L_UPDATED_FOV_3D05
107,Neg2,1.4730469645466513,168.9307463191605,182.4042172817702,WTE1_B_L_UPDATED_FOV_3D05
108,Rest,1.5010143867423544,175.893256567745,179.77838508095434,WTE1_B_L_UPDATED_FOV_3D05
109,Neurod1,1.5846126503288003,175.9860750257067,161.6822282315665,WTE1_B_L_UPDATED_FOV_3D05
110,Laptm5,1.599712126664263,148.6981094779566,198.91269602362777,WTE1_B_L_UPDATED_FOV_3D05
111,Pax6,1.6332070779680001,165.91539398913284,166.20366024142695,WTE1_B_L_UPDATED_FOV_3D05
112,Baiap2l1,1.6380529390522514,173.7822613602719,201.88444834617482,WTE1_B_L_UPDATED_FOV_3D05
113,Baiap2l1,1.6638536536531656,174.13761645195243,201.7977837838463,WTE1_B_L_UPDATED_FOV_3D05
114,Neurod1,1.6201947901878628,176.98739488154098,186.03093603476196,WTE1_B_L_UPDATED_FOV_3D05
115,Cd9,1.6754209823441144,178.45474514932295,203.91338767272183,WTE1_B_L_UPDATED_FOV_3D05
116,TIM50,1.6275425798010172,188.84691863758536,162.55139868046436,WTE1_B_L_UPDATED_FOV_3D05
117,Neg2,1.5534444526901716,174.45920780307242,187.12784145583595,WTE1_B_L_UPDATED_FOV_3D05
118,BSN,1.5164154914085373,175.07200081272273,175.8906073619511,WTE1_B_L_UPDATED_FOV_3D05
119,Cd9,1.7009403389470286,178.89321965346585,200.73067407415297,WTE1_B_L_UPDATED_FOV_3D05
120,Cd9,1.6698405545741257,191.47135350053645,157.04878071125978,WTE1_B_L_UPDATED_FOV_3D05
121,Itga6,1.7731449951968572,151.23173562014944,189.10845446855302,WTE1_B_L_UPDATED_FOV_3D05
122,Plek,1.732920054385783,159.0238518670232,197.66170955923215,WTE1_B_L_UPDATED_FOV_3D05
123,Laptm5,1.8001871931112916,162.3962483838725,175.54335502547897,WTE1_B_L_UPDATED_FOV_3D05
124,Pax6,1.7222530507312228,165.92138803913403,166.08896756774908,WTE1_B_L_UPDATED_FOV_3D05
125,BSN,1.474886864600743,169.81571407747649,169.00371094474008,WTE1_B_L_UPDATED_FOV_3D05
126,DLG4,1.7287588738150057,172.14431576658083,146.9930205808658,WTE1_B_L_UPDATED_FOV_3D05
127,Trem2,1.6487985029035885,178.28125643495952,187.6936272820025,WTE1_B_L_UPDATED_FOV_3D05
128,Neg2,1.7724963462214174,162.6811636577054,180.82580719962397,WTE1_B_L_UPDATED_FOV_3D05
129,STXBP5,1.8450487557531774,163.40983039732143,160.87401789151895,WTE1_B_L_UPDATED_FOV_3D05
130,AQP4,1.8068316809012457,173.69886690071718,193.00399964633402,WTE1_B_L_UPDATED_FOV_3D05
131,BSN,1.5299133618120686,173.86499178888343,181.62942988316306,WTE1_B_L_UPDATED_FOV_3D05
132,Baiap2l1,1.8347050797784115,176.05960142103805,183.01535668827015,WTE1_B_L_UPDATED_FOV_3D05
133,Cd9,1.7587572510077716,196.70354605756395,202.87058059441898,WTE1_B_L_UPDATED_FOV_3D05
134,Cd9,1.74088207369256,209.1948603555342,172.53139308693758,WTE1_B_L_UPDATED_FOV_3D05
135,Itgb5,1.8553275670493943,155.84230009356506,159.98719164812286,WTE1_B_L_UPDATED_FOV_3D05
136,Neg2,1.7491371074173487,167.69882372064586,202.95414350440345,WTE1_B_L_UPDATED_FOV_3D05
137,Cd9,1.91615135785752,184.7811971296622,179.53137624952046,WTE1_B_L_UPDATED_FOV_3D05
138,Baiap2l1,1.9645010927785143,167.92693521787152,196.21391279096446,WTE1_B_L_UPDATED_FOV_3D05
139,BSN,1.9412084622440344,174.8729920723118,175.90227308947647,WTE1_B_L_UPDATED_FOV_3D05
140,Laptm5,1.9689394994013945,178.1450446399668,177.52815937214663,WTE1_B_L_UPDATED_FOV_3D05
141,Trem2,1.8821582708635884,178.41269033694434,187.8319155425876,WTE1_B_L_UPDATED_FOV_3D05
142,Plek,1.993927923256423,158.2118085771439,171.20799314892452,WTE1_B_L_UPDATED_FOV_3D05
143,Npc2,1.9147558565293485,174.67508216024248,201.4512180199884,WTE1_B_L_UPDATED_FOV_3D05
144,PSEN1,1.683451106858446,185.63304898979592,160.45681434996138,WTE1_B_L_UPDATED_FOV_3D05
145,Baiap2l1,1.9538514001249372,187.89738155904587,165.05495984484756,WTE1_B_L_UPDATED_FOV_3D05
146,Neurod1,2.034587737162823,150.2592197120666,193.2114699808324,WTE1_B_L_UPDATED_FOV_3D05
147,PSEN1,1.9564510149332117,167.52452448112695,168.79424008810753,WTE1_B_L_UPDATED_FOV_3D05
148,Neg2,1.8945594731068343,169.46599006329828,206.61977269375046,WTE1_B_L_UPDATED_FOV_3D05
149,Itga6,2.06147453251904,171.44765703960596,205.67435155245133,WTE1_B_L_UPDATED_FOV_3D05
150,Serpina3n,2.1000892817665027,179.6845183395948,199.49271323176114,WTE1_B_L_UPDATED_FOV_3D05
151,Neg2,2.069597552112183,183.42536967253574,164.81099838978258,WTE1_B_L_UPDATED_FOV_3D05
152,Fcer1g,2.0825675962904575,154.03076825002717,185.02577355339014,WTE1_B_L_UPDATED_FOV_3D05
153,Laptm5,2.088247112535806,158.52185145548938,153.2539585485541,WTE1_B_L_UPDATED_FOV_3D05
154,DLG4,2.0959677263690284,166.4505341353902,198.25611289792823,WTE1_B_L_UPDATED_FOV_3D05
155,BSN,1.9420424563188803,166.4679778605637,176.29387837420907,WTE1_B_L_UPDATED_FOV_3D05
156,BSN,2.0607946648369597,169.94657450551557,200.4828612024421,WTE1_B_L_UPDATED_FOV_3D05
157,Fcer1g,2.096144552458206,173.00701573859223,194.72547036789905,WTE1_B_L_UPDATED_FOV_3D05
158,Pax6,2.152269142251303,154.89143161720264,175.48457199039305,WTE1_B_L_UPDATED_FOV_3D05
159,Rest,2.1440817576137485,155.18520346090142,182.16618568582436,WTE1_B_L_UPDATED_FOV_3D05
160,Fcer1g,2.1469055289025145,172.83108535730412,194.87609365941165,WTE1_B_L_UPDATED_FOV_3D05
161,Cd9,2.193521826253543,181.4778327551671,187.4201363244828,WTE1_B_L_UPDATED_FOV_3D05
162,Neg2,2.1025660477374513,155.82998801264722,199.33318240547723,WTE1_B_L_UPDATED_FOV_3D05
163,PSEN1,2.0987344348541606,162.5421537034283,191.74081386761455,WTE1_B_L_UPDATED_FOV_3D05
164,Baiap2l1,2.177093566134994,165.4041112816508,182.0614258256109,WTE1_B_L_UPDATED_FOV_3D05
165,Ntf3,2.184940168312263,169.56717814293054,206.1272950660145,WTE1_B_L_UPDATED_FOV_3D05
166,Fcgr3,2.1993209565735543,172.50426792330117,194.97561053573824,WTE1_B_L_UPDATED_FOV_3D05
167,TIM50,1.9673016495175315,188.73438327931345,162.63055536779754,WTE1_B_L_UPDATED_FOV_3D05
168,Tmem119,2.0857158461248,174.2001518358098,189.2196024718514,WTE1_B_L_UPDATED_FOV_3D05
169,Plp1,2.2106613505719315,177.6901581819514,175.26879150636879,WTE1_B_L_UPDATED_FOV_3D05
170,Neg2,2.2947776663647086,156.34653039833273,194.20666059267273,WTE1_B_L_UPDATED_FOV_3D05
171,Laptm5,2.32722176278088,158.09370687949087,155.47834660424624,WTE1_B_L_UPDATED_FOV_3D05
172,Itgb5,2.2935505715369144,171.49275783815116,212.67397752147033,WTE1_B_L_UPDATED_FOV_3D05
173,Itgam,2.3322701323662285,175.63885144352744,211.4629695933861,WTE1_B_L_UPDATED_FOV_3D05
174,Trem2,2.0147790527307428,178.218322482862,187.80144496438032,WTE1_B_L_UPDATED_FOV_3D05
175,Rerg,2.2621744782517026,181.21942583340228,186.67717083049428,WTE1_B_L_UPDATED_FOV_3D05
176,Fcer1g,2.164161621922503,172.174795200627,164.5705323069163,WTE1_B_L_UPDATED_FOV_3D05
177,Trem2,2.2661806052960687,178.35347912159116,187.87269965843012,WTE1_B_L_UPDATED_FOV_3D05
178,Baiap2l1,2.396198288548537,161.40927260882717,166.20109423399032,WTE1_B_L_UPDATED_FOV_3D05
179,Fcer1g,2.4054877157953714,162.71054216045368,170.94934658848473,WTE1_B_L_UPDATED_FOV_3D05
180,Neg2,2.2320764771737376,167.68159185782514,202.98636360785,WTE1_B_L_UPDATED_FOV_3D05
181,Baiap2l1,2.4048075411206624,170.0382237435184,209.56803473736446,WTE1_B_L_UPDATED_FOV_3D05
182,Cd9,2.4277577561218977,180.76388638643516,207.02854145848386,WTE1_B_L_UPDATED_FOV_3D05
183,RAB3A,2.340964167598,153.36948521248974,185.67172285762715,WTE1_B_L_UPDATED_FOV_3D05
184,Cyba,2.471303585631497,164.54022839951134,198.15603313667813,WTE1_B_L_UPDATED_FOV_3D05
185,DLG4,2.4711704704549033,165.57559220039929,178.8422172979033,WTE1_B_L_UPDATED_FOV_3D05
186,Pax6,2.4643425083037718,171.0271268370703,192.3548373634166,WTE1_B_L_UPDATED_FOV_3D05
187,Fcer1g,2.2954128351899774,156.74297328882184,155.34910577783393,WTE1_B_L_UPDATED_FOV_3D05
188,STXBP5,2.5156661982503086,159.55152536075752,164.33824552932106,WTE1_B_L_UPDATED_FOV_3D05
189,Fcer1g,2.4359429987112002,162.53973169891597,170.91430563300656,WTE1_B_L_UPDATED_FOV_3D05
190,Cd9,2.4927442521120686,185.15150106659598,195.21246173048527,WTE1_B_L_UPDATED_FOV_3D05
191,RAB3A,2.5008127342401143,153.10698880720875,185.52717904804868,WTE1_B_L_UPDATED_FOV_3D05
192,STXBP5,2.549512339723097,159.83291064315935,164.60699788514805,WTE1_B_L_UPDATED_FOV_3D05
193,Syp,2.5364636055044003,168.8925557577706,184.5418258889826,WTE1_B_L_UPDATED_FOV_3D05
194,Cd9,2.479986682693886,208.95729938674324,172.68302509861994,WTE1_B_L_UPDATED_FOV_3D05
195,Itgb5,2.3416934179802973,153.07702657331535,154.2100217548795,WTE1_B_L_UPDATED_FOV_3D05
196,DLG4,2.5491563404176802,154.1991565529029,182.2179237397683,WTE1_B_L_UPDATED_FOV_3D05
197,Itgb5,2.5981234426490745,167.134719974852,144.94974995332265,WTE1_B_L_UPDATED_FOV_3D05
