point_id,cell_id,cell_type
1,1,Immune
2,2,unassigned
3,2,unassigned
4,3,Excitatory_Neuron
5,3,Excitatory_Neuron
6,3,Excitatory_Neuron
7,4,Astro-Epen
8,2,unassigned
9,3,Excitatory_Neuron
10,5,Immune
11,3,Excitatory_Neuron
12,4,Astro-Epen
13,3,Excitatory_Neuron
14,6,Immune
15,2,unassigned
16,2,unassigned
17,2,unassigned
18,5,Immune
19,3,Excitatory_Neuron
20,3,Excitatory_Neuron
21,3,Excitatory_Neuron
22,4,Astro-Epen
23,3,Excitatory_Neuron
24,3,Excitatory_Neuron
25,5,Immune
26,4,Astro-Epen
27,4,Astro-Epen
28,4,Astro-Epen
29,3,Excitatory_Neuron
30,3,Excitatory_Neuron
31,3,Excitatory_Neuron
32,2,unassigned
33,7,unassigned
34,2,unassigned
35,3,Excitatory_Neuron
36,8,unassigned
37,2,unassigned
38,5,Immune
39,9,unassigned
40,3,Excitatory_Neuron
41,1,Immune
42,2,unassigned
43,4,Astro-Epen
44,8,unassigned
45,5,Immune
46,2,unassigned
47,2,unassigned
48,3,Excitatory_Neuron
49,3,Excitatory_Neuron
50,2,unassigned
51,2,unassigned
52,3,Excitatory_Neuron
53,2,unassigned
54,2,unassigned
55,3,Excitatory_Neuron
56,3,Excitatory_Neuron
57,3,Excitatory_Neuron
58,2,unassigned
59,3,Excitatory_Neuron
60,3,Excitatory_Neuron
61,5,Immune
62,9,unassigned
63,2,unassigned
64,5,Immune
65,5,Immune
66,2,unassigned
67,1,Immune
68,10,Immune
69,3,Excitatory_Neuron
70,3,Excitatory_Neuron
71,7,unassigned
72,11,Immune
73,3,Excitatory_Neuron
74,2,unassigned
75,3,Excitatory_Neuron
76,2,unassigned
77,3,Excitatory_Neuron
78,10,Immune
79,12,Immune
80,3,Excitatory_Neuron
81,3,Excitatory_Neuron
82,4,Astro-Epen
83,3,Excitatory_Neuron
84,8,unassigned
85,1,Immune
86,2,unassigned
87,2,unassigned
88,2,unassigned
89,5,Immune
90,2,unassigned
91,2,unassigned
92,5,Immune
93,1,Immune
94,3,Excitatory_Neuron
95,3,Excitatory_Neuron
96,4,Astro-Epen
97,7,unassigned
98,3,Excitatory_Neuron
99,1,Immune
100,3,Excitatory_Neuron
101,3,Excitatory_Neuron
102,3,Excitatory_Neuron
103,3,Excitatory_Neuron
104,3,Excitatory_Neuron
105,8,unassigned
106,3,Excitatory_Neuron
107,2,unassigned
108,4,Astro-Epen
109,3,Excitatory_Neuron
110,4,Astro-Epen
111,5,Immune
112,3,Excitatory_Neuron
113,2,unassigned
114,2,unassigned
115,4,Astro-Epen
116,3,Excitatory_Neuron
117,3,Excitatory_Neuron
118,3,Excitatory_Neuron
119,3,Excitatory_Neuron
120,3,Excitatory_Neuron
121,3,Excitatory_Neuron
122,5,Immune
123,3,Excitatory_Neuron
124,5,Immune
125,2,unassigned
126,3,Excitatory_Neuron
127,13,Immune
128,14,Excitatory_Neuron
129,3,Excitatory_Neuron
130,3,Excitatory_Neuron
131,5,Immune
132,7,unassigned
133,5,Immune
134,2,unassigned
135,5,Immune
136,3,Excitatory_Neuron
137,3,Excitatory_Neuron
138,2,unassigned
139,13,Immune
140,10,Immune
141,3,Excitatory_Neuron
142,3,Excitatory_Neuron
143,3,Excitatory_Neuron
144,5,Immune
145,11,Immune
146,15,OPC-Oligo
147,1,Immune
148,3,Excitatory_Neuron
149,1,Immune
150,8,unassigned
151,2,unassigned
152,5,Immune
153,2,unassigned
154,3,Excitatory_Neuron
155,3,Excitatory_Neuron
156,4,Astro-Epen
157,3,Excitatory_Neuron
158,4,Astro-Epen
159,2,unassigned
160,1,Immune
161,2,unassigned
162,3,Excitatory_Neuron
163,3,Excitatory_Neuron
164,11,Immune
165,16,OPC-Oligo
166,10,Immune
167,1,Immune
168,3,Excitatory_Neuron
169,3,Excitatory_Neuron
170,1,Immune
171,3,Excitatory_Neuron
172,3,Excitatory_Neuron
173,2,unassigned
174,3,Excitatory_Neuron
175,1,Immune
176,3,Excitatory_Neuron
177,3,Excitatory_Neuron
178,2,unassigned
179,5,Immune
180,3,Excitatory_Neuron
181,5,Immune
182,3,Excitatory_Neuron
183,3,Excitatory_Neuron
184,5,Immune
185,2,unassigned
186,3,Excitatory_Neuron
187,16,OPC-Oligo
188,3,Excitatory_Neuron
189,3,Excitatory_Neuron
190,1,Immune
191,2,unassigned
192,5,Immune
193,3,Excitatory_Neuron
194,11,Immune
195,3,Excitatory_Neuron
196,1,Immune
197,3,Excitatory_Neuron
198,2,unassigned
199,8,unassigned
200,3,Excitatory_Neuron
201,16,OPC-Oligo
202,5,Immune
203,2,unassigned
204,3,Excitatory_Neuron
205,2,unassigned
206,3,Excitatory_Neuron
207,2,unassigned
208,3,Excitatory_Neuron
209,7,unassigned
210,16,OPC-Oligo
211,2,unassigned
212,3,Excitatory_Neuron
213,2,unassigned
214,2,unassigned
215,5,Immune
216,2,unassigned
217,5,Immune
218,5,Immune
219,16,OPC-Oligo
220,3,Excitatory_Neuron
221,1,Immune
222,3,Excitatory_Neuron
223,3,Excitatory_Neuron
224,8,unassigned
225,2,unassigned
226,2,unassigned
227,17,Immune
228,3,Excitatory_Neuron
229,16,OPC-Oligo
230,2,unassigned
231,10,Immune
232,5,Immune
233,3,Excitatory_Neuron
234,18,unassigned
235,19,unassigned
236,3,Excitatory_Neuron
237,2,unassigned
238,3,Excitatory_Neuron
239,1,Immune
240,5,Immune
241,5,Immune
242,3,Excitatory_Neuron
243,2,unassigned
244,4,Astro-Epen
245,13,Immune
246,7,unassigned
247,5,Immune
248,1,Immune
249,2,unassigned
250,5,Immune
251,3,Excitatory_Neuron
252,3,Excitatory_Neuron
253,13,Immune
254,20,Immune
255,16,OPC-Oligo
256,2,unassigned
257,3,Excitatory_Neuron
258,2,unassigned
259,3,Excitatory_Neuron
260,3,Excitatory_Neuron
261,3,Excitatory_Neuron
262,3,Excitatory_Neuron
263,3,Excitatory_Neuron
264,2,unassigned
265,5,Immune
266,2,unassigned
267,5,Immune
268,3,Excitatory_Neuron
269,2,unassigned
270,5,Immune
271,5,Immune
272,5,Immune
273,3,Excitatory_Neuron
274,2,unassigned
275,8,unassigned
276,3,Excitatory_Neuron
277,13,Immune
278,13,Immune
279,7,unassigned
280,20,Immune
281,3,Excitatory_Neuron
282,3,Excitatory_Neuron
283,3,Excitatory_Neuron
284,3,Excitatory_Neuron
285,10,Immune
286,3,Excitatory_Neuron
287,2,unassigned
288,1,Immune
289,3,Excitatory_Neuron
290,5,Immune
291,10,Immune
292,21,unassigned
293,20,Immune
294,7,unassigned
295,3,Excitatory_Neuron
296,3,Excitatory_Neuron
297,3,Excitatory_Neuron
298,4,Astro-Epen
299,3,Excitatory_Neuron
300,8,unassigned
301,2,unassigned
302,17,Immune
303,3,Excitatory_Neuron
304,10,Immune
305,10,Immune
306,10,Immune
307,10,Immune
308,2,unassigned
309,5,Immune
310,2,unassigned
311,2,unassigned
312,3,Excitatory_Neuron
313,2,unassigned
314,4,Astro-Epen
315,13,Immune
316,2,unassigned
317,7,unassigned
318,22,Immune
319,16,OPC-Oligo
320,2,unassigned
321,5,Immune
322,3,Excitatory_Neuron
323,2,unassigned
324,2,unassigned
325,2,unassigned
326,16,OPC-Oligo
327,1,Immune
328,10,Immune
329,10,Immune
330,2,unassigned
331,3,Excitatory_Neuron
332,2,unassigned
333,3,Excitatory_Neuron
334,3,Excitatory_Neuron
335,12,Immune
336,23,OPC-Oligo
337,13,Immune
338,13,Immune
339,11,Immune
340,2,unassigned
341,16,OPC-Oligo
342,2,unassigned
343,1,Immune
344,10,Immune
345,10,Immune
346,2,unassigned
347,2,unassigned
348,3,Excitatory_Neuron
349,13,Immune
350,19,unassigned
351,10,Immune
352,10,Immune
353,10,Immune
354,3,Excitatory_Neuron
355,3,Excitatory_Neuron
356,5,Immune
357,2,unassigned
358,5,Immune
359,3,Excitatory_Neuron
360,2,unassigned
361,13,Immune
362,12,Immune
363,21,unassigned
364,16,OPC-Oligo
365,16,OPC-Oligo
366,7,unassigned
367,12,Immune
368,3,Excitatory_Neuron
369,3,Excitatory_Neuron
370,2,unassigned
371,1,Immune
372,2,unassigned
373,20,Immune
374,7,unassigned
375,2,unassigned
376,2,unassigned
377,19,unassigned
378,22,Immune
379,3,Excitatory_Neuron
380,2,unassigned
381,3,Excitatory_Neuron
382,5,Immune
383,3,Excitatory_Neuron
384,3,Excitatory_Neuron
385,2,unassigned
386,24,OPC-Oligo
387,5,Immune
388,2,unassigned
389,2,unassigned
390,16,OPC-Oligo
391,2,unassigned
392,20,Immune
393,1,Immune
394,1,Immune
395,1,Immune
396,5,Immune
397,3,Excitatory_Neuron
398,2,unassigned
399,4,Astro-Epen
400,5,Immune
401,3,Excitatory_Neuron
402,2,unassigned
403,13,Immune
404,13,Immune
405,2,unassigned
406,2,unassigned
407,22,Immune
408,25,unassigned
409,7,unassigned
410,7,unassigned
411,2,unassigned
412,3,Excitatory_Neuron
413,3,Excitatory_Neuron
414,10,Immune
415,10,Immune
416,2,unassigned
417,10,Immune
418,3,Excitatory_Neuron
419,2,unassigned
420,12,Immune
421,5,Immune
422,2,unassigned
423,3,Excitatory_Neuron
424,4,Astro-Epen
425,17,Immune
426,15,OPC-Oligo
427,23,OPC-Oligo
428,2,unassigned
429,2,unassigned
430,22,Immune
431,16,OPC-Oligo
432,3,Excitatory_Neuron
433,12,Immune
434,13,Immune
435,26,unassigned
436,11,Immune
437,5,Immune
438,1,Immune
439,2,unassigned
440,3,Excitatory_Neuron
441,2,unassigned
442,3,Excitatory_Neuron
443,4,Astro-Epen
444,11,Immune
445,25,unassigned
446,16,OPC-Oligo
447,7,unassigned
448,15,OPC-Oligo
449,5,Immune
450,1,Immune
451,3,Excitatory_Neuron
452,10,Immune
453,5,Immune
454,27,Immune
455,20,Immune
456,17,Immune
457,28,unassigned
458,15,OPC-Oligo
459,2,unassigned
460,25,unassigned
461,3,Excitatory_Neuron
462,3,Excitatory_Neuron
463,5,Immune
464,1,Immune
465,10,Immune
466,3,Excitatory_Neuron
467,3,Excitatory_Neuron
468,5,Immune
469,10,Immune
470,5,Immune
471,3,Excitatory_Neuron
472,2,unassigned
473,1,Immune
474,3,Excitatory_Neuron
475,1,Immune
476,12,Immune
477,3,Excitatory_Neuron
478,4,Astro-Epen
479,4,Astro-Epen
480,3,Excitatory_Neuron
481,25,unassigned
482,16,OPC-Oligo
483,10,Immune
484,22,Immune
485,1,Immune
486,10,Immune
487,4,Astro-Epen
488,10,Immune
489,2,unassigned
490,2,unassigned
491,2,unassigned
492,3,Excitatory_Neuron
493,29,unassigned
494,12,Immune
495,26,unassigned
496,15,OPC-Oligo
497,15,OPC-Oligo
498,2,unassigned
499,22,Immune
500,16,OPC-Oligo
501,3,Excitatory_Neuron
502,3,Excitatory_Neuron
503,10,Immune
504,3,Excitatory_Neuron
505,1,Immune
506,2,unassigned
507,5,Immune
508,10,Immune
509,27,Immune
510,2,unassigned
511,3,Excitatory_Neuron
512,2,unassigned
513,23,OPC-Oligo
514,17,Immune
515,14,Excitatory_Neuron
516,15,OPC-Oligo
517,7,unassigned
518,7,unassigned
519,22,Immune
520,1,Immune
521,3,Excitatory_Neuron
522,1,Immune
523,3,Excitatory_Neuron
524,1,Immune
525,3,Excitatory_Neuron
526,2,unassigned
527,5,Immune
528,5,Immune
529,5,Immune
530,5,Immune
531,13,Immune
532,13,Immune
533,12,Immune
534,22,Immune
535,19,unassigned
536,16,OPC-Oligo
537,10,Immune
538,1,Immune
539,2,unassigned
540,5,Immune
541,3,Excitatory_Neuron
542,5,Immune
543,2,unassigned
544,2,unassigned
545,3,Excitatory_Neuron
546,3,Excitatory_Neuron
547,5,Immune
548,5,Immune
549,2,unassigned
550,21,unassigned
551,11,Immune
552,20,Immune
553,13,Immune
554,13,Immune
555,2,unassigned
556,21,unassigned
557,2,unassigned
558,2,unassigned
559,2,unassigned
560,20,Immune
561,5,Immune
562,3,Excitatory_Neuron
563,2,unassigned
564,5,Immune
565,2,unassigned
566,3,Excitatory_Neuron
567,2,unassigned
568,2,unassigned
569,3,Excitatory_Neuron
570,2,unassigned
571,26,unassigned
572,7,unassigned
573,22,Immune
574,1,Immune
575,16,OPC-Oligo
576,3,Excitatory_Neuron
577,3,Excitatory_Neuron
578,1,Immune
579,3,Excitatory_Neuron
580,2,unassigned
581,3,Excitatory_Neuron
582,2,unassigned
583,2,unassigned
584,5,Immune
585,2,unassigned
586,3,Excitatory_Neuron
587,8,unassigned
588,5,Immune
589,26,unassigned
590,2,unassigned
591,7,unassigned
592,30,unassigned
593,3,Excitatory_Neuron
594,5,Immune
595,2,unassigned
596,10,Immune
597,3,Excitatory_Neuron
598,3,Excitatory_Neuron
599,5,Immune
600,2,unassigned
601,2,unassigned
602,3,Excitatory_Neuron
603,5,Immune
604,4,Astro-Epen
605,29,unassigned
606,20,Immune
607,26,unassigned
608,31,GABA_Neuron
609,26,unassigned
610,2,unassigned
611,11,Immune
612,21,unassigned
613,2,unassigned
614,16,OPC-Oligo
615,2,unassigned
616,7,unassigned
617,3,Excitatory_Neuron
618,2,unassigned
619,30,unassigned
620,1,Immune
621,3,Excitatory_Neuron
622,5,Immune
623,5,Immune
624,2,unassigned
625,4,Astro-Epen
626,2,unassigned
627,2,unassigned
628,13,Immune
629,23,OPC-Oligo
630,16,OPC-Oligo
631,20,Immune
632,25,unassigned
633,25,unassigned
634,10,Immune
635,10,Immune
636,1,Immune
637,2,unassigned
638,5,Immune
639,8,unassigned
640,2,unassigned
641,4,Astro-Epen
642,2,unassigned
643,3,Excitatory_Neuron
644,23,OPC-Oligo
645,17,Immune
646,11,Immune
647,11,Immune
648,16,OPC-Oligo
649,16,OPC-Oligo
650,15,OPC-Oligo
651,15,OPC-Oligo
652,16,OPC-Oligo
653,1,Immune
654,1,Immune
655,3,Excitatory_Neuron
656,2,unassigned
657,2,unassigned
658,5,Immune
659,5,Immune
660,3,Excitatory_Neuron
661,5,Immune
662,32,unassigned
663,31,GABA_Neuron
664,20,Immune
665,7,unassigned
666,16,OPC-Oligo
667,2,unassigned
668,25,unassigned
669,19,unassigned
670,3,Excitatory_Neuron
671,1,Immune
672,5,Immune
673,3,Excitatory_Neuron
674,10,Immune
675,2,unassigned
676,8,unassigned
677,33,Excitatory_Neuron
678,33,Excitatory_Neuron
679,34,Astro-Epen
680,13,Immune
681,16,OPC-Oligo
682,35,unassigned
683,15,OPC-Oligo
684,16,OPC-Oligo
685,24,OPC-Oligo
686,2,unassigned
687,4,Astro-Epen
688,4,Astro-Epen
689,4,Astro-Epen
690,2,unassigned
691,34,Astro-Epen
692,20,Immune
693,2,unassigned
694,11,Immune
695,3,Excitatory_Neuron
696,2,unassigned
697,3,Excitatory_Neuron
698,3,Excitatory_Neuron
699,5,Immune
700,3,Excitatory_Neuron
701,24,OPC-Oligo
702,5,Immune
703,2,unassigned
704,3,Excitatory_Neuron
705,17,Immune
706,11,Immune
707,21,unassigned
708,16,OPC-Oligo
709,22,Immune
710,16,OPC-Oligo
711,16,OPC-Oligo
712,3,Excitatory_Neuron
713,2,unassigned
714,5,Immune
715,5,Immune
716,3,Excitatory_Neuron
717,24,OPC-Oligo
718,17,Immune
719,34,Astro-Epen
720,11,Immune
721,11,Immune
722,21,unassigned
723,20,Immune
724,11,Immune
725,12,Immune
726,2,unassigned
727,7,unassigned
728,2,unassigned
729,3,Excitatory_Neuron
730,3,Excitatory_Neuron
731,3,Excitatory_Neuron
732,1,Immune
733,3,Excitatory_Neuron
734,5,Immune
735,5,Immune
736,3,Excitatory_Neuron
737,5,Immune
738,24,OPC-Oligo
739,5,Immune
740,4,Astro-Epen
741,27,Immune
742,2,unassigned
743,2,unassigned
744,33,Excitatory_Neuron
745,17,Immune
746,16,OPC-Oligo
747,16,OPC-Oligo
748,22,Immune
749,5,Immune
750,7,unassigned
751,12,Immune
752,3,Excitatory_Neuron
753,5,Immune
754,1,Immune
755,10,Immune
756,5,Immune
757,24,OPC-Oligo
758,24,OPC-Oligo
759,4,Astro-Epen
760,5,Immune
761,4,Astro-Epen
762,5,Immune
763,4,Astro-Epen
764,13,Immune
765,11,Immune
766,12,Immune
767,2,unassigned
768,11,Immune
769,7,unassigned
770,22,Immune
771,22,Immune
772,2,unassigned
773,2,unassigned
774,22,Immune
775,2,unassigned
776,12,Immune
777,5,Immune
778,3,Excitatory_Neuron
779,5,Immune
780,3,Excitatory_Neuron
781,8,unassigned
782,13,Immune
783,34,Astro-Epen
784,13,Immune
785,20,Immune
786,22,Immune
787,20,Immune
788,15,OPC-Oligo
789,20,Immune
790,16,OPC-Oligo
791,1,Immune
792,22,Immune
793,2,unassigned
794,12,Immune
795,5,Immune
796,5,Immune
797,4,Astro-Epen
798,5,Immune
799,24,OPC-Oligo
800,5,Immune
801,3,Excitatory_Neuron
802,13,Immune
803,2,unassigned
804,2,unassigned
805,2,unassigned
806,16,OPC-Oligo
807,16,OPC-Oligo
808,2,unassigned
809,19,unassigned
810,36,unassigned
811,3,Excitatory_Neuron
812,10,Immune
813,2,unassigned
814,3,Excitatory_Neuron
815,5,Immune
816,12,Immune
817,5,Immune
818,4,Astro-Epen
819,3,Excitatory_Neuron
820,3,Excitatory_Neuron
821,2,unassigned
822,17,Immune
823,34,Astro-Epen
824,13,Immune
825,2,unassigned
826,16,OPC-Oligo
827,10,Immune
828,3,Excitatory_Neuron
829,3,Excitatory_Neuron
830,2,unassigned
831,2,unassigned
832,5,Immune
833,30,unassigned
834,12,Immune
835,5,Immune
836,5,Immune
837,5,Immune
838,3,Excitatory_Neuron
839,3,Excitatory_Neuron
840,37,unassigned
841,13,Immune
842,17,Immune
843,34,Astro-Epen
844,21,unassigned
845,11,Immune
846,16,OPC-Oligo
847,10,Immune
848,20,Immune
849,19,unassigned
850,25,unassigned
851,20,Immune
852,7,unassigned
853,20,Immune
854,1,Immune
855,3,Excitatory_Neuron
856,3,Excitatory_Neuron
857,2,unassigned
858,3,Excitatory_Neuron
859,1,Immune
860,5,Immune
861,3,Excitatory_Neuron
862,24,OPC-Oligo
863,12,Immune
864,3,Excitatory_Neuron
865,38,Excitatory_Neuron
866,12,Immune
867,11,Immune
868,22,Immune
869,16,OPC-Oligo
870,20,Immune
871,2,unassigned
872,22,Immune
873,36,unassigned
874,1,Immune
875,1,Immune
876,1,Immune
877,1,Immune
878,1,Immune
879,2,unassigned
880,2,unassigned
881,12,Immune
882,3,Excitatory_Neuron
883,3,Excitatory_Neuron
884,2,unassigned
885,5,Immune
886,2,unassigned
887,17,Immune
888,38,Excitatory_Neuron
889,28,unassigned
890,23,OPC-Oligo
891,13,Immune
892,13,Immune
893,13,Immune
894,13,Immune
895,12,Immune
896,12,Immune
897,2,unassigned
898,20,Immune
899,16,OPC-Oligo
900,7,unassigned
901,3,Excitatory_Neuron
902,3,Excitatory_Neuron
903,16,OPC-Oligo
904,3,Excitatory_Neuron
905,3,Excitatory_Neuron
906,1,Immune
907,2,unassigned
908,5,Immune
909,5,Immune
910,5,Immune
911,3,Excitatory_Neuron
912,17,Immune
913,17,Immune
914,13,Immune
915,17,Immune
916,11,Immune
917,2,unassigned
918,11,Immune
919,13,Immune
920,12,Immune
921,16,OPC-Oligo
922,20,Immune
923,22,Immune
924,2,unassigned
925,3,Excitatory_Neuron
926,3,Excitatory_Neuron
927,2,unassigned
928,5,Immune
929,2,unassigned
930,5,Immune
931,24,OPC-Oligo
932,5,Immune
933,3,Excitatory_Neuron
934,37,unassigned
935,33,Excitatory_Neuron
936,17,Immune
937,13,Immune
938,12,Immune
939,13,Immune
940,20,Immune
941,13,Immune
942,16,OPC-Oligo
943,12,Immune
944,22,Immune
945,22,Immune
946,15,OPC-Oligo
947,22,Immune
948,22,Immune
949,10,Immune
950,10,Immune
951,2,unassigned
952,2,unassigned
953,5,Immune
954,1,Immune
955,2,unassigned
956,12,Immune
957,4,Astro-Epen
958,3,Excitatory_Neuron
959,3,Excitatory_Neuron
960,5,Immune
961,2,unassigned
962,32,unassigned
963,37,unassigned
964,29,unassigned
965,17,Immune
966,17,Immune
967,13,Immune
968,11,Immune
969,2,unassigned
970,19,unassigned
971,2,unassigned
972,2,unassigned
973,3,Excitatory_Neuron
974,10,Immune
975,2,unassigned
976,2,unassigned
977,5,Immune
978,4,Astro-Epen
979,24,OPC-Oligo
980,2,unassigned
981,5,Immune
982,2,unassigned
983,3,Excitatory_Neuron
984,5,Immune
985,23,OPC-Oligo
986,2,unassigned
987,17,Immune
988,13,Immune
989,13,Immune
990,11,Immune
991,12,Immune
992,2,unassigned
993,15,OPC-Oligo
994,22,Immune
995,1,Immune
996,3,Excitatory_Neuron
997,3,Excitatory_Neuron
998,4,Astro-Epen
999,4,Astro-Epen
1000,17,Immune
1001,17,Immune
1002,13,Immune
1003,17,Immune
1004,12,Immune
1005,21,unassigned
1006,21,unassigned
1007,2,unassigned
1008,11,Immune
1009,39,unassigned
1010,12,Immune
1011,15,OPC-Oligo
1012,3,Excitatory_Neuron
1013,1,Immune
1014,5,Immune
1015,2,unassigned
1016,24,OPC-Oligo
1017,5,Immune
1018,2,unassigned
1019,2,unassigned
1020,29,unassigned
1021,33,Excitatory_Neuron
1022,17,Immune
1023,2,unassigned
1024,13,Immune
1025,13,Immune
1026,11,Immune
1027,16,OPC-Oligo
1028,2,unassigned
1029,3,Excitatory_Neuron
1030,3,Excitatory_Neuron
1031,3,Excitatory_Neuron
1032,10,Immune
1033,3,Excitatory_Neuron
1034,5,Immune
1035,27,Immune
1036,5,Immune
1037,3,Excitatory_Neuron
1038,5,Immune
1039,29,unassigned
1040,17,Immune
1041,17,Immune
1042,17,Immune
1043,12,Immune
1044,11,Immune
1045,11,Immune
1046,22,Immune
1047,10,Immune
1048,20,Immune
1049,10,Immune
1050,2,unassigned
1051,2,unassigned
1052,5,Immune
1053,3,Excitatory_Neuron
1054,5,Immune
1055,3,Excitatory_Neuron
1056,3,Excitatory_Neuron
1057,4,Astro-Epen
1058,33,Excitatory_Neuron
1059,13,Immune
1060,17,Immune
1061,17,Immune
1062,12,Immune
1063,13,Immune
1064,13,Immune
