point_id,cell_id,cell_type
1,1,Astro-Epen
2,2,Excitatory_Neuron
3,3,Excitatory_Neuron
4,4,Excitatory_Neuron
5,5,unassigned
6,6,Excitatory_Neuron
7,7,Excitatory_Neuron
8,8,Excitatory_Neuron
9,9,unassigned
10,10,Excitatory_Neuron
11,4,Excitatory_Neuron
12,4,Excitatory_Neuron
13,4,Excitatory_Neuron
14,11,Excitatory_Neuron
15,12,unassigned
16,13,unassigned
17,14,unassigned
18,15,Excitatory_Neuron
19,16,unassigned
20,2,Excitatory_Neuron
21,17,Excitatory_Neuron
22,8,Excitatory_Neuron
23,10,Excitatory_Neuron
24,18,Astro-Epen
25,19,GABA_Neuron
26,18,Astro-Epen
27,6,Excitatory_Neuron
28,20,Excitatory_Neuron
29,8,Excitatory_Neuron
30,21,unassigned
31,17,Excitatory_Neuron
32,4,Excitatory_Neuron
33,22,Excitatory_Neuron
34,3,Excitatory_Neuron
35,11,Excitatory_Neuron
36,11,Excitatory_Neuron
37,4,Excitatory_Neuron
38,23,Immune
39,4,Excitatory_Neuron
40,24,Astro-Epen
41,25,unassigned
42,26,Astro-Epen
43,26,Astro-Epen
44,2,Excitatory_Neuron
45,27,unassigned
46,6,Excitatory_Neuron
47,20,Excitatory_Neuron
48,28,Excitatory_Neuron
49,21,unassigned
50,29,Excitatory_Neuron
51,11,Excitatory_Neuron
52,23,Immune
53,12,unassigned
54,30,unassigned
55,24,Astro-Epen
56,31,Astro-Epen
57,18,Astro-Epen
58,15,Excitatory_Neuron
59,1,Astro-Epen
60,32,unassigned
61,2,Excitatory_Neuron
62,33,Excitatory_Neuron
63,2,Excitatory_Neuron
64,34,Excitatory_Neuron
65,17,Excitatory_Neuron
66,4,Excitatory_Neuron
67,7,Excitatory_Neuron
68,29,Excitatory_Neuron
69,17,Excitatory_Neuron
70,17,Excitatory_Neuron
71,11,Excitatory_Neuron
72,17,Excitatory_Neuron
73,35,Excitatory_Neuron
74,12,unassigned
75,36,unassigned
76,24,Astro-Epen
77,24,Astro-Epen
78,25,unassigned
79,1,Astro-Epen
80,37,unassigned
81,1,Astro-Epen
82,38,unassigned
83,39,unassigned
84,28,Excitatory_Neuron
85,17,Excitatory_Neuron
86,22,Excitatory_Neuron
87,10,Excitatory_Neuron
88,22,Excitatory_Neuron
89,17,Excitatory_Neuron
90,4,Excitatory_Neuron
91,10,Excitatory_Neuron
92,35,Excitatory_Neuron
93,12,unassigned
94,40,Astro-Epen
95,24,Astro-Epen
96,25,unassigned
97,41,unassigned
98,42,Astro-Epen
99,1,Astro-Epen
100,2,Excitatory_Neuron
101,32,unassigned
102,27,unassigned
103,2,Excitatory_Neuron
104,6,Excitatory_Neuron
105,27,unassigned
106,38,unassigned
107,28,Excitatory_Neuron
108,43,unassigned
109,44,Immune
110,8,Excitatory_Neuron
111,17,Excitatory_Neuron
112,17,Excitatory_Neuron
113,10,Excitatory_Neuron
114,4,Excitatory_Neuron
115,4,Excitatory_Neuron
116,3,Excitatory_Neuron
117,23,Immune
118,35,Excitatory_Neuron
119,45,Astro-Epen
120,24,Astro-Epen
121,25,unassigned
122,46,Astro-Epen
123,1,Astro-Epen
124,19,GABA_Neuron
125,41,unassigned
126,20,Excitatory_Neuron
127,44,Immune
128,21,unassigned
129,8,Excitatory_Neuron
130,8,Excitatory_Neuron
131,4,Excitatory_Neuron
132,10,Excitatory_Neuron
133,10,Excitatory_Neuron
134,22,Excitatory_Neuron
135,47,unassigned
136,11,Excitatory_Neuron
137,48,Immune
138,23,Immune
139,5,unassigned
140,6,Excitatory_Neuron
141,34,Excitatory_Neuron
142,34,Excitatory_Neuron
143,34,Excitatory_Neuron
144,8,Excitatory_Neuron
145,4,Excitatory_Neuron
146,44,Immune
147,17,Excitatory_Neuron
148,22,Excitatory_Neuron
149,10,Excitatory_Neuron
150,22,Excitatory_Neuron
151,29,Excitatory_Neuron
152,4,Excitatory_Neuron
153,22,Excitatory_Neuron
154,9,unassigned
155,48,Immune
156,12,unassigned
157,25,unassigned
158,36,unassigned
159,18,Astro-Epen
160,18,Astro-Epen
161,26,Astro-Epen
162,49,unassigned
163,2,Excitatory_Neuron
164,28,Excitatory_Neuron
165,8,Excitatory_Neuron
166,4,Excitatory_Neuron
167,34,Excitatory_Neuron
168,50,Excitatory_Neuron
169,4,Excitatory_Neuron
170,17,Excitatory_Neuron
171,3,Excitatory_Neuron
172,17,Excitatory_Neuron
173,4,Excitatory_Neuron
174,10,Excitatory_Neuron
175,5,unassigned
176,48,Immune
177,4,Excitatory_Neuron
178,12,unassigned
179,12,unassigned
180,51,unassigned
181,12,unassigned
182,24,Astro-Epen
183,15,Excitatory_Neuron
184,52,unassigned
185,53,unassigned
186,2,Excitatory_Neuron
187,21,unassigned
188,10,Excitatory_Neuron
189,3,Excitatory_Neuron
190,3,Excitatory_Neuron
191,23,Immune
192,12,unassigned
193,31,Astro-Epen
194,18,Astro-Epen
195,42,Astro-Epen
196,2,Excitatory_Neuron
197,8,Excitatory_Neuron
198,4,Excitatory_Neuron
199,54,Excitatory_Neuron
200,10,Excitatory_Neuron
201,50,Excitatory_Neuron
202,11,Excitatory_Neuron
203,35,Excitatory_Neuron
204,35,Excitatory_Neuron
205,24,Astro-Epen
206,25,unassigned
207,1,Astro-Epen
208,41,unassigned
209,26,Astro-Epen
210,38,unassigned
211,38,unassigned
212,28,Excitatory_Neuron
213,6,Excitatory_Neuron
214,28,Excitatory_Neuron
215,17,Excitatory_Neuron
216,29,Excitatory_Neuron
217,54,Excitatory_Neuron
218,29,Excitatory_Neuron
219,10,Excitatory_Neuron
220,23,Immune
221,11,Excitatory_Neuron
222,23,Immune
223,55,unassigned
224,18,Astro-Epen
225,19,GABA_Neuron
226,38,unassigned
227,1,Astro-Epen
228,20,Excitatory_Neuron
229,8,Excitatory_Neuron
230,34,Excitatory_Neuron
231,10,Excitatory_Neuron
232,22,Excitatory_Neuron
233,29,Excitatory_Neuron
234,4,Excitatory_Neuron
235,12,unassigned
236,23,Immune
237,56,Excitatory_Neuron
238,57,unassigned
239,25,unassigned
240,24,Astro-Epen
241,1,Astro-Epen
242,19,GABA_Neuron
243,33,Excitatory_Neuron
244,6,Excitatory_Neuron
245,39,unassigned
246,11,Excitatory_Neuron
247,11,Excitatory_Neuron
248,11,Excitatory_Neuron
249,12,unassigned
250,18,Astro-Epen
251,15,Excitatory_Neuron
252,42,Astro-Epen
253,19,GABA_Neuron
254,26,Astro-Epen
255,21,unassigned
256,6,Excitatory_Neuron
