region_id,region_name,region_area,region_proportion
1,DG,554405.8318367342,0.0715367326604723
2,CA3,682298.5665306123,0.0880391354954175
3,CA1,1042842.2269387756,0.1345612208811325
4,upper_CA1,1442484.1665306124,0.1861282805164522
5,SM,2336905.4302040813,0.301538276499491
6,SLM,1572711.1053061222,0.2029318730643726
7,inner_DG,118298.906122449,0.0152644808826616
